DATABASE	PRIMARY NAME	ABBREVIATION	NAMES	KEGG ID(S)	FORMULA	CHARGE
cpd12608_c0	Apo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]	Apo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]	Apo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]|Apo-[propionyl-CoA-carboxylase (ATP-hydrolysing)]	C04763	C7H13N3O2R2	0
cpd12609_c0	C-terminal glycine residue of the polypeptide ubiquitin	C-terminal glycine residue of the polypeptide ubiquitin	C-terminal glycine residue of the polypeptide ubiquitin	C04764		10000000
cpd12610_c0	Glycolipid(non-reducing N- or O-acylneuraminyl residue)	Glycolipid(non-reducing N- or O-acylneuraminyl residue)	Glycolipid(non-reducing N- or O-acylneuraminyl residue)	C04765		10000000
cpd12611_c0	[Hydroxymethylglutaryl-CoA reductase (NADPH)] phosphate	[Hydroxymethylglutaryl-CoA reductase (NADPH)] phosphate	[Hydroxymethylglutaryl-CoA reductase (NADPH)] phosphate	C04768	C4H6N2O6PR2	-1
cpd12612_c0	1,6-alpha-D-Mannosyl-1,6-alpha-D-mannosyloligosaccharide	1,6-alpha-D-Mannosyl-1,6-alpha-D-mannosyloligosaccharide	1,6-alpha-D-Mannosyl-1,6-alpha-D-mannosyloligosaccharide	C04772	C30H51O26*	0
cpd12613_c0	High-mannose glycopeptide containing -{Man(GlcNAc)2}Asn-	High-mannose glycopeptide containing -{Man(GlcNAc)2}Asn-	High-mannose glycopeptide containing -{Man(GlcNAc)2}Asn-	C04777		10000000
cpd12614_c0	rRNA containing a single residue of 2'-O-methyladenosine	rRNA containing a single residue of 2'-O-methyladenosine	rRNA containing a single residue of 2'-O-methyladenosine	C04779	C21H29N5O16P2R2	-2
cpd12615_c0	Glycoprotein(non-reducing N- or O-acylneuraminyl residue)	Glycoprotein(non-reducing N- or O-acylneuraminyl residue)	Glycoprotein(non-reducing N- or O-acylneuraminyl residue)	C04781		10000000
cpd12616_c0	3-beta-D-Galactosyl-4-D-galactosyl-O-beta-D-xylosylprotein	3-beta-D-Galactosyl-4-D-galactosyl-O-beta-D-xylosylprotein	3-beta-D-Galactosyl-4-D-galactosyl-O-beta-D-xylosylprotein		C23H36N3O19R2	-1
cpd12617_c0	Glycano-1,3-(N-acetyl-alpha-D-galactosaminyl)-glycoprotein	Glycano-1,3-(N-acetyl-alpha-D-galactosaminyl)-glycoprotein	Glycano-1,3-(N-acetyl-alpha-D-galactosaminyl)-glycoprotein	C04788		10000000
cpd12618_c0	N-Acetyl-beta-D-mannosaminouronosyl-1,4-lipopolysaccharide	N-Acetyl-beta-D-mannosaminouronosyl-1,4-lipopolysaccharide	N-Acetyl-beta-D-mannosaminouronosyl-1,4-lipopolysaccharide	C04790		10000000
cpd12619_c0	Colominate	Colominate	Colominic acid(non-reducing N- or O-acylneuraminyl residue)|Colominate	C04799	C22H34N2O17*2	0
cpd12620_c0	D-Glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan	D-Glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan	D-Glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan	C04800	C41H61N3O34R2	-2
